target,treatment,well,on_buscar_scores,off_buscar_scores,is_reference_distance,cell_counts
healthy_DMSO,healthy-drug_x,E09,1.1439434921856837,0.3235294117647059,false,131
healthy_DMSO,healthy-TGFRi,C04,0.7952824718184349,0.058823529411764705,false,288
healthy_DMSO,healthy-drug_x,C06,0.9100937877075138,0.11764705882352941,false,386
healthy_DMSO,healthy-TGFRi,C10,0.7713593194055803,0.11764705882352941,false,314
healthy_DMSO,failing-drug_x,B09,0.9766540858088306,0.3235294117647059,false,493
healthy_DMSO,failing-TGFRi,D04,0.9478040826022767,0.23529411764705882,false,870
healthy_DMSO,healthy-TGFRi,E04,0.9269512767661571,0.0,false,94
healthy_DMSO,failing-drug_x,B06,0.9508897666756917,0.23529411764705882,false,388
healthy_DMSO,failing-drug_x,B03,0.9430345963536716,0.4117647058823529,false,419
healthy_DMSO,healthy-TGFRi,C07,0.7789722459057216,0.058823529411764705,false,492
healthy_DMSO,,,1.0,0.0,true,9153
healthy_DMSO,failing-TGFRi,B10,0.8742935197839782,0.11764705882352941,false,618
healthy_DMSO,healthy-drug_x,E06,1.0733991122166862,0.5588235294117647,false,136
healthy_DMSO,failing-drug_x,D03,0.959949937309328,0.38235294117647056,false,684
healthy_DMSO,healthy-TGFRi,E10,0.8171432504409658,0.4411764705882353,false,235
healthy_DMSO,failing-TGFRi,B07,0.9465550621114197,0.11764705882352941,false,545
healthy_DMSO,failing-drug_x,D06,0.9660360461886616,0.38235294117647056,false,781
healthy_DMSO,healthy-drug_x,E03,1.0639324233663496,0.4411764705882353,false,141
healthy_DMSO,healthy-drug_x,C09,0.9291662792510987,0.08823529411764706,false,365
healthy_DMSO,healthy-drug_x,C03,0.9259042197016615,0.08823529411764706,false,268
healthy_DMSO,failing-TGFRi,D07,1.079648314821082,0.2647058823529412,false,729
healthy_DMSO,failing-drug_x,D09,0.9960343525209583,0.47058823529411764,false,880
healthy_DMSO,failing-TGFRi,B04,0.8996053887180648,0.0,false,341
healthy_DMSO,failing-TGFRi,D10,0.9292801373120655,0.14705882352941177,false,685
healthy_DMSO,healthy-TGFRi,E07,0.8824083444510176,0.0,false,63
