target,treatment,well,on_buscar_scores,off_buscar_scores,is_reference_distance,iteration
healthy_DMSO,failing-drug_x,B09,0.9696471535933096,0.4603174603174603,false,0
healthy_DMSO,healthy-TGFRi,E07,0.8737525115103812,0.0,false,0
healthy_DMSO,healthy-drug_x,C03,0.9182943737561959,0.3333333333333333,false,0
healthy_DMSO,healthy-drug_x,C09,0.9220911047945409,0.38095238095238093,false,0
healthy_DMSO,healthy-drug_x,C06,0.9026326823049594,0.31746031746031744,false,0
healthy_DMSO,failing-drug_x,D09,0.9885234755901094,0.6349206349206349,false,0
healthy_DMSO,failing-TGFRi,B10,0.8619320102628042,0.3333333333333333,false,0
healthy_DMSO,failing-TGFRi,B07,0.9378292285899484,0.2698412698412698,false,0
healthy_DMSO,failing-drug_x,D06,0.9566834545123724,0.5555555555555556,false,0
healthy_DMSO,healthy-TGFRi,E10,0.8060571185953229,0.4126984126984127,false,0
healthy_DMSO,failing-TGFRi,D07,1.075983196200173,0.42857142857142855,false,0
healthy_DMSO,failing-drug_x,B06,0.9428893177915676,0.4603174603174603,false,0
healthy_DMSO,healthy-drug_x,E09,1.1437968054010514,0.36507936507936506,false,0
healthy_DMSO,healthy-TGFRi,C10,0.7601786705375515,0.2222222222222222,false,0
healthy_DMSO,failing-drug_x,D03,0.9532498189387457,0.5714285714285714,false,0
healthy_DMSO,failing-drug_x,B03,0.9348848642151948,0.49206349206349204,false,0
healthy_DMSO,healthy-TGFRi,C04,0.7799877447255097,0.20634920634920634,false,0
healthy_DMSO,healthy-TGFRi,E04,0.9183875411746432,0.0,false,0
healthy_DMSO,healthy-drug_x,E03,1.05899267583465,0.5396825396825397,false,0
healthy_DMSO,,,1.0,0.0,true,0
healthy_DMSO,healthy-TGFRi,C07,0.765394854914844,0.2698412698412698,false,0
healthy_DMSO,failing-TGFRi,D04,0.9406289885734151,0.4603174603174603,false,0
healthy_DMSO,failing-TGFRi,B04,0.8896398399057197,0.14285714285714285,false,0
healthy_DMSO,failing-TGFRi,D10,0.9199142729399705,0.3968253968253968,false,0
healthy_DMSO,healthy-drug_x,E06,1.0706998636850888,0.5555555555555556,false,0
healthy_DMSO,failing-drug_x,D03,0.9700562430553329,0.48148148148148145,false,1
healthy_DMSO,failing-TGFRi,B10,0.8778208725540753,0.24074074074074073,false,1
healthy_DMSO,healthy-TGFRi,C04,0.7968333555500307,0.14814814814814814,false,1
healthy_DMSO,failing-TGFRi,B07,0.953307005992443,0.2777777777777778,false,1
healthy_DMSO,healthy-TGFRi,E07,0.8884727910961973,0.0,false,1
healthy_DMSO,failing-drug_x,B06,0.9581893208556272,0.37037037037037035,false,1
healthy_DMSO,failing-TGFRi,D07,1.092279528896685,0.46296296296296297,false,1
healthy_DMSO,healthy-drug_x,E03,1.0763771714665404,0.5925925925925926,false,1
healthy_DMSO,healthy-TGFRi,E10,0.8206518099639262,0.42592592592592593,false,1
healthy_DMSO,failing-drug_x,B09,0.9844593457669112,0.3333333333333333,false,1
healthy_DMSO,failing-drug_x,B03,0.951296621756212,0.4444444444444444,false,1
healthy_DMSO,failing-TGFRi,B04,0.9046069022898863,0.018518518518518517,false,1
healthy_DMSO,healthy-TGFRi,C07,0.78103244848279,0.12962962962962962,false,1
healthy_DMSO,failing-TGFRi,D04,0.95651563471227,0.4444444444444444,false,1
healthy_DMSO,healthy-drug_x,C03,0.9344852271780842,0.3333333333333333,false,1
healthy_DMSO,,,0.9999999999999999,0.0,true,1
healthy_DMSO,healthy-TGFRi,C10,0.7737882247430404,0.18518518518518517,false,1
healthy_DMSO,healthy-drug_x,C06,0.9182632790820004,0.3148148148148148,false,1
healthy_DMSO,healthy-drug_x,C09,0.937281200824413,0.3333333333333333,false,1
healthy_DMSO,healthy-drug_x,E09,1.160553334292285,0.37037037037037035,false,1
healthy_DMSO,failing-drug_x,D09,1.0068805918920503,0.6111111111111112,false,1
healthy_DMSO,failing-drug_x,D06,0.9743457174757866,0.48148148148148145,false,1
healthy_DMSO,failing-TGFRi,D10,0.9363073722802083,0.3148148148148148,false,1
healthy_DMSO,healthy-TGFRi,E04,0.9333985721540148,0.0,false,1
healthy_DMSO,healthy-drug_x,E06,1.0876340054954936,0.6111111111111112,false,1
healthy_DMSO,failing-TGFRi,D04,0.966953893315624,0.33962264150943394,false,2
healthy_DMSO,failing-drug_x,B06,0.9724449413023408,0.3584905660377358,false,2
healthy_DMSO,healthy-TGFRi,C04,0.8054940885682189,0.11320754716981132,false,2
healthy_DMSO,failing-drug_x,B09,0.999331997964149,0.37735849056603776,false,2
healthy_DMSO,failing-TGFRi,D07,1.1046868149407045,0.3584905660377358,false,2
healthy_DMSO,,,0.9999999999999999,0.0,true,2
healthy_DMSO,healthy-drug_x,E03,1.0920447383064202,0.5283018867924528,false,2
healthy_DMSO,healthy-TGFRi,C07,0.7885216344632431,0.11320754716981132,false,2
healthy_DMSO,failing-drug_x,B03,0.964176804189918,0.4339622641509434,false,2
healthy_DMSO,healthy-TGFRi,E07,0.898780032461895,0.0,false,2
healthy_DMSO,failing-drug_x,D03,0.9829037385025086,0.4716981132075472,false,2
healthy_DMSO,failing-TGFRi,B07,0.9642192771813639,0.18867924528301888,false,2
healthy_DMSO,healthy-drug_x,E09,1.1767811788190987,0.33962264150943394,false,2
healthy_DMSO,healthy-drug_x,E06,1.102283932579063,0.4716981132075472,false,2
healthy_DMSO,failing-TGFRi,D10,0.947496963230635,0.2830188679245283,false,2
healthy_DMSO,healthy-drug_x,C03,0.9468520761002922,0.33962264150943394,false,2
healthy_DMSO,failing-drug_x,D09,1.0208066968941385,0.5283018867924528,false,2
healthy_DMSO,healthy-TGFRi,E04,0.9439663746307208,0.0,false,2
healthy_DMSO,failing-TGFRi,B04,0.9160186381468267,0.018867924528301886,false,2
healthy_DMSO,healthy-drug_x,C06,0.9296817345662762,0.24528301886792453,false,2
healthy_DMSO,healthy-drug_x,C09,0.9500118769189281,0.24528301886792453,false,2
healthy_DMSO,healthy-TGFRi,C10,0.7833930569153201,0.11320754716981132,false,2
healthy_DMSO,failing-drug_x,D06,0.9884596005914633,0.4716981132075472,false,2
healthy_DMSO,failing-TGFRi,B10,0.8871882166366607,0.16981132075471697,false,2
healthy_DMSO,healthy-TGFRi,E10,0.830375664059795,0.41509433962264153,false,2
healthy_DMSO,failing-TGFRi,D04,0.9528665242128925,0.38181818181818183,false,3
healthy_DMSO,healthy-TGFRi,C10,0.7708871712318414,0.16363636363636364,false,3
healthy_DMSO,healthy-drug_x,E03,1.0744754242178824,0.5636363636363636,false,3
healthy_DMSO,failing-drug_x,B09,0.9804833722594929,0.43636363636363634,false,3
healthy_DMSO,healthy-TGFRi,C07,0.7753697990782644,0.10909090909090909,false,3
healthy_DMSO,failing-TGFRi,D07,1.0885211061454254,0.38181818181818183,false,3
healthy_DMSO,healthy-TGFRi,E10,0.8176822494332404,0.4,false,3
healthy_DMSO,healthy-TGFRi,C04,0.791839984759311,0.14545454545454545,false,3
healthy_DMSO,healthy-drug_x,C03,0.9313029725767251,0.32727272727272727,false,3
healthy_DMSO,failing-TGFRi,B04,0.9025129071600391,0.01818181818181818,false,3
healthy_DMSO,healthy-drug_x,E09,1.1588910543769377,0.36363636363636365,false,3
healthy_DMSO,failing-drug_x,D09,1.002304823126605,0.6,false,3
healthy_DMSO,failing-drug_x,D06,0.9703256008144325,0.5272727272727272,false,3
healthy_DMSO,failing-drug_x,D03,0.9655441527426704,0.5454545454545454,false,3
healthy_DMSO,healthy-drug_x,C09,0.9347618161926751,0.34545454545454546,false,3
healthy_DMSO,failing-drug_x,B06,0.9542934765937731,0.4909090909090909,false,3
healthy_DMSO,healthy-TGFRi,E04,0.9289938795629138,0.0,false,3
healthy_DMSO,healthy-drug_x,E06,1.0844355215696428,0.5454545454545454,false,3
healthy_DMSO,,,1.0,0.0,true,3
healthy_DMSO,healthy-TGFRi,E07,0.8846201709102721,0.0,false,3
healthy_DMSO,healthy-drug_x,C06,0.9152219613809078,0.2545454545454545,false,3
healthy_DMSO,failing-TGFRi,D10,0.9331046607733658,0.2545454545454545,false,3
healthy_DMSO,failing-drug_x,B03,0.946729242503182,0.509090909090909,false,3
healthy_DMSO,failing-TGFRi,B07,0.9504759356016871,0.18181818181818182,false,3
healthy_DMSO,failing-TGFRi,B10,0.8733937808185236,0.2,false,3
healthy_DMSO,failing-TGFRi,B04,0.9092665027557236,0.08333333333333333,false,4
healthy_DMSO,healthy-drug_x,E06,1.0926892374485004,0.6,false,4
healthy_DMSO,healthy-TGFRi,C07,0.7817981126954365,0.15,false,4
healthy_DMSO,healthy-TGFRi,C10,0.7774252703621493,0.2,false,4
healthy_DMSO,failing-drug_x,D09,1.009931955365018,0.6666666666666666,false,4
healthy_DMSO,healthy-drug_x,C03,0.9378935458470539,0.38333333333333336,false,4
healthy_DMSO,failing-drug_x,D06,0.9776492096491176,0.5333333333333333,false,4
healthy_DMSO,failing-TGFRi,B10,0.8802785503241104,0.3333333333333333,false,4
healthy_DMSO,failing-drug_x,B06,0.9619243218381889,0.43333333333333335,false,4
healthy_DMSO,healthy-TGFRi,E07,0.8902633770779517,0.0,false,4
healthy_DMSO,failing-TGFRi,D10,0.9408775581512396,0.36666666666666664,false,4
healthy_DMSO,,,1.0,0.0,true,4
healthy_DMSO,healthy-drug_x,C06,0.9226300249525249,0.35,false,4
healthy_DMSO,healthy-drug_x,C09,0.9414646002639981,0.4166666666666667,false,4
healthy_DMSO,healthy-TGFRi,C04,0.79811508121164,0.21666666666666667,false,4
healthy_DMSO,failing-drug_x,B09,0.9881209723912563,0.4166666666666667,false,4
healthy_DMSO,healthy-TGFRi,E04,0.9368809466495426,0.0,false,4
healthy_DMSO,healthy-TGFRi,E10,0.8242083399528175,0.38333333333333336,false,4
healthy_DMSO,failing-drug_x,B03,0.9541315742551212,0.5,false,4
healthy_DMSO,failing-TGFRi,D07,1.0974774666118157,0.43333333333333335,false,4
healthy_DMSO,healthy-drug_x,E09,1.1661325271211174,0.4166666666666667,false,4
healthy_DMSO,healthy-drug_x,E03,1.0802799391202667,0.6166666666666667,false,4
healthy_DMSO,failing-drug_x,D03,0.9728658341670247,0.6,false,4
healthy_DMSO,failing-TGFRi,B07,0.9554710104920797,0.2833333333333333,false,4
healthy_DMSO,failing-TGFRi,D04,0.9602355860685737,0.38333333333333336,false,4
healthy_DMSO,healthy-drug_x,E06,1.0754204432092762,0.66,false,5
healthy_DMSO,healthy-drug_x,C03,0.9262052602569315,0.38,false,5
healthy_DMSO,failing-TGFRi,D10,0.9281837148663357,0.26,false,5
healthy_DMSO,failing-TGFRi,D04,0.9473755450167067,0.4,false,5
healthy_DMSO,failing-drug_x,B03,0.9417032695429132,0.52,false,5
healthy_DMSO,healthy-TGFRi,E10,0.8147379965658019,0.46,false,5
healthy_DMSO,failing-drug_x,D09,0.9949640040136148,0.62,false,5
healthy_DMSO,failing-TGFRi,B04,0.8977886456533264,0.06,false,5
