feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Cytoplasm_AreaShape_BoundingBoxMinimum_X,0.8803924125492064,0.016886190016186516,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Compactness,0.5317220768192535,0.023271378592558362,0.9600511456520627,0.01770562979086218,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Eccentricity,0.4323562819388207,0.025140530295213997,0.9489059523632086,0.02277682908345986,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Extent,0.5399655559322935,0.023123574042001768,0.9600511456520627,0.01770562979086218,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_FormFactor,0.6282512943557006,0.021580264189436805,0.9762684605173206,0.0104307408483136,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_MajorAxisLength,0.7415929978550692,0.01961553540998727,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_MeanRadius,0.9866616789414888,0.012966730059462538,0.9986600063456854,0.0005823421044118704,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_MinorAxisLength,0.8430889118123007,0.017698875101795585,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Perimeter,0.41783530110490524,0.02543166047055274,0.947084014215322,0.023611493761539704,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Solidity,0.13776618453089648,0.03338791224312761,0.8883754876337983,0.051403433163013004,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_0_0,0.9464317250477369,0.015046951139238766,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_1_1,0.6434647496495457,0.021318486974084137,0.9854460151975559,0.006367162296752908,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_2_0,0.06093376168355036,0.03816324692685706,0.8883754876337983,0.051403433163013004,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_2_2,0.08820228017517533,0.03607678734332358,0.8883754876337983,0.051403433163013004,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_3_1,0.952191748927862,0.014835161934761566,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_4_0,0.6671733796731277,0.02091082474779249,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_4_2,0.9637137695287351,0.014359276071227077,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_5_1,0.02645459493407112,0.04249596776709074,0.8883754876337983,0.051403433163013004,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_5_3,0.5900649642122213,0.02224098572198444,0.9691817037185736,0.013594793099393864,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_6_0,0.7961590522005446,0.018620973945608885,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_6_2,0.3265994510650645,0.027420223533587706,0.9216245402776733,0.03544596972242113,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_6_4,0.2127655733213195,0.030536596102790706,0.8883754876337983,0.051403433163013004,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_7_1,0.1550329248133693,0.03263841200326514,0.8883754876337983,0.051403433163013004,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_7_3,0.6232546409701756,0.021666403529777417,0.9749483312319176,0.011018399742960549,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_7_5,0.5034089778696763,0.023785975171714817,0.9600511456520627,0.01770562979086218,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_8_0,0.9245550154140258,0.015748302927025983,0.9959731764549559,0.001752357835805311,off,Cytoplasm,no-channel
