feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Cytoplasm_AreaShape_BoundingBoxMinimum_X,0.00012815521917530588,0.06355499696952682,0.0001495523605651438,3.825206727585353,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Compactness,0.784666306562721,0.01883572244032991,0.7894728383027683,0.10266280723662094,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_Eccentricity,3.8891913556476026e-47,0.21161788556632577,9.903871010311918e-47,46.004195024611775,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Extent,1.8732071877549385e-21,0.14228771371474266,3.1395334753953947e-21,20.50313488189947,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_FormFactor,0.784666306562721,0.01883572244032991,0.7894728383027683,0.10266280723662094,off,Cytoplasm,no-channel
Cytoplasm_AreaShape_MajorAxisLength,7.015710702011772e-42,0.19945032383433156,1.6520867136995463e-41,40.78196716143883,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_MeanRadius,1.1597685718294148e-29,0.16767066586749835,2.2476930728375383e-29,28.648262992868798,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_MinorAxisLength,1.2693107016579558e-48,0.21493053106143023,3.283217051138886e-48,47.483700405422965,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Perimeter,4.8590725682171905e-21,0.14088389040772462,8.082052347642263e-21,20.092478340948734,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Solidity,0.00005761094148193628,0.0661382174099364,0.00006832200099933599,4.165439422614075,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_0_0,1.0984061182670431e-44,0.20603698408973592,2.712980525193411e-44,43.566553323758264,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_1_1,1.585587628359268e-16,0.12454452924010705,2.451131933722445e-16,15.610633311944348,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_2_0,2.804398532208085e-30,0.16942024624813984,5.499969658688692e-30,29.259639706342192,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_2_2,1.0208252085187196e-7,0.08383541291456657,1.3048291089431884e-7,6.8844463633470045,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_3_1,3.592316887308182e-8,0.08640447675029621,4.664332401109636e-8,7.331210507386325,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_4_0,5.153773791465341e-7,0.07968840753233744,6.511594963447557e-7,6.186312621418984,on,Cytoplasm,no-channel
Cytoplasm_AreaShape_Zernike_4_2,0.00005984549385302595,0.06601760633729606,0.00007084412515574424,4.149696158376704,on,Cytoplasm,no-channel
